"AÑO";"MES";"ID";"TIPOEDIFICIO";"EDIFICIO";"BARRIO";"CLASE";"GRUPO";"UNIDADES";"CONSUMO"
"2020";"3";"2258";"Centros culturales y bibliotecas";"Biblioteca Ana MarÃ­a Matute";"SAN ISIDRO";"Energia activa";"Activa Interruptor Gral";"kWh";"13099"
"2020";"3";"2258";"Centros culturales y bibliotecas";"Biblioteca Ana MarÃ­a Matute";"SAN ISIDRO";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"104"
"2020";"3";"2178";"Centros culturales y bibliotecas";"Biblioteca Ã�ngel GonzÃ¡lez";"ALUCHE";"Energia activa";"Activa Interruptor Gral";"kWh";"9688"
"2020";"3";"2178";"Centros culturales y bibliotecas";"Biblioteca Ã�ngel GonzÃ¡lez";"ALUCHE";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"4262"
"2020";"3";"2178";"Centros culturales y bibliotecas";"Biblioteca Ã�ngel GonzÃ¡lez";"ALUCHE";"Gas";"Gas";"m3";"0"
"2020";"3";"2096";"Centros culturales y bibliotecas";"Biblioteca Eugenio TrÃ­as";"JERÃ“NIMOS";"Energia activa";"Activa Interruptor Gral";"kWh";"14630"
"2020";"3";"2096";"Centros culturales y bibliotecas";"Biblioteca Eugenio TrÃ­as";"JERÃ“NIMOS";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"4173"
"2020";"3";"2096";"Centros culturales y bibliotecas";"Biblioteca Eugenio TrÃ­as";"JERÃ“NIMOS";"Gas";"Gas";"m3";"1266,7"
"2020";"3";"1208";"Centros culturales y bibliotecas";"Biblioteca Gerardo Diego";"CASCO HISTÃ“RICO DE VALLECAS";"Energia activa";"Activa Interruptor Gral";"kWh";"4308"
"2020";"3";"1208";"Centros culturales y bibliotecas";"Biblioteca Gerardo Diego";"CASCO HISTÃ“RICO DE VALLECAS";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"1449"
"2020";"3";"1208";"Centros culturales y bibliotecas";"Biblioteca Gerardo Diego";"CASCO HISTÃ“RICO DE VALLECAS";"Gas";"Gas";"m3";"1376,2"
"2020";"3";"1526";"Centros culturales y bibliotecas";"Biblioteca JosÃ© Hierro";"ROSAS";"Energia activa";"Activa Interruptor Gral";"kWh";"2751"
"2020";"3";"1526";"Centros culturales y bibliotecas";"Biblioteca JosÃ© Hierro";"ROSAS";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"80"
"2020";"3";"1526";"Centros culturales y bibliotecas";"Biblioteca JosÃ© Hierro";"ROSAS";"Gas";"Gas";"m3";"5,7"
"2020";"3";"509";"Centros culturales y bibliotecas";"Biblioteca La Elipa - Islas Filipinas";"VENTAS";"Energia activa";"Ninguno";"kWh";"995"
"2020";"3";"509";"Centros culturales y bibliotecas";"Biblioteca La Elipa - Islas Filipinas";"VENTAS";"Gas";"Gas";"m3";"1376,21055"
"2020";"3";"509";"Centros culturales y bibliotecas";"Biblioteca La Elipa - Islas Filipinas";"VENTAS";"Gas";"Gas";"m3";"3208,74"
"2020";"3";"2204";"Centros culturales y bibliotecas";"Biblioteca MarÃ­a LejÃ¡rraga";"VALDEFUENTES";"Energia activa";"Ninguno";"kWh";"4576,1804"
"2020";"3";"941";"Centros culturales y bibliotecas";"Biblioteca Mario Vargas Llosa";"JUSTICIA";"Energia activa";"Activa Interruptor Gral";"kWh";"3536"
"2020";"3";"941";"Centros culturales y bibliotecas";"Biblioteca Mario Vargas Llosa";"JUSTICIA";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"1190"
"2020";"3";"850";"Centros culturales y bibliotecas";"Biblioteca Miguel Delibes";"MEDIA LEGUA";"Energia activa";"Activa Interruptor Gral";"kWh";"5930"
"2020";"3";"850";"Centros culturales y bibliotecas";"Biblioteca Miguel Delibes";"MEDIA LEGUA";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"1259"
"2020";"3";"850";"Centros culturales y bibliotecas";"Biblioteca Miguel Delibes";"MEDIA LEGUA";"Gas";"Gas";"m3";"1481,7"
"2020";"3";"702";"Centros culturales y bibliotecas";"Biblioteca Pablo Neruda";"PUEBLO NUEVO";"Energia activa";"Ninguno";"kWh";"4523"
